,vehicle_id,timestamp,dt,IST,ts_mins,total_battery_current,bat_voltage,gear_position,odometerreading,vehicle_speed_vcu,vehiclereadycondition,gun_connection_status,ignitionstatus,latitude,longitude,altitude,ground_speed_kmph,charger_proximity,dist_from_loc,source_row_index,nxt_state,session_number,session_rank_asc,session_rank_desc
0,18,2025-09-20 18:30:00.247,2025-09-20,2025-09-21 00:00:00.247,2025-09-20 18:30:00,1.3,639.2,0.0,2635.375,0.0,0.0,0.0,1.0,28.423038,76.99171,224.1,0.0,GGN,6.2,0,,1,1,1513
1512,18,2025-09-21 00:27:00.294,2025-09-21,2025-09-21 05:57:00.294,2025-09-21 00:27:00,167.1,636.4,2.0,2635.5299446024856,26.23,1.0,0.0,1.0,28.424402,76.993355,211.8,0.0,GGN,215.5,8946,GGN,1,1513,1
1513,18,2025-09-21 05:07:03.519,2025-09-21,2025-09-21 10:37:03.519,2025-09-21 05:07:00,311.7,623.3,2.0,2845.875,60.53,1.0,0.0,1.0,29.547909,77.74651,254.7,73.2,MZF,202.91,17186,GGN,2,1,1143
2655,18,2025-09-21 05:59:04.239,2025-09-21,2025-09-21 11:29:04.239,2025-09-21 05:59:00,,,2.0,2846.613513062349,4.95,1.0,0.0,,29.550276,77.74855,256.0,45.1,MZF,126.49,19767,MZF,2,1143,1
2656,18,2025-09-21 11:40:30.462,2025-09-21,2025-09-21 17:10:30.462,2025-09-21 11:40:00,15.1,622.3,0.0,2990.25,0.0,1.0,0.0,1.0,30.289091,78.00086,617.6,2.99,DDN,232.55,32816,MZF,3,1,575
3230,18,2025-09-21 13:29:02.981,2025-09-21,2025-09-21 18:59:02.981,2025-09-21 13:29:00,-8.5,641.9,2.0,2991.375,6.21,1.0,0.0,1.0,30.289362,77.99992,596.2,34.65,DDN,201.43,37655,DDN,3,575,1
3231,18,2025-09-21 16:24:06.335,2025-09-21,2025-09-21 21:54:06.335,2025-09-21 16:24:00,4.8,630.9,2.0,3115.9337694194605,76.16,1.0,0.0,,29.550158,77.74857,249.6,74.88,MZF,118.23,42533,DDN,4,1,518
3748,18,2025-09-21 17:20:02.369,2025-09-21,2025-09-21 22:50:02.369,2025-09-21 17:20:00,312.1,630.4,2.0,3119.0345257903496,60.04,1.0,0.0,1.0,29.547815,77.746544,254.8,58.0,MZF,209.84,45046,MZF,4,518,1
3749,18,2025-09-21 21:23:07.486,2025-09-21,2025-09-22 02:53:07.486,2025-09-21 21:23:00,208.9,624.4,2.0,3326.7256871035943,38.04,1.0,0.0,1.0,28.423805,76.992714,223.2,13.65,GGN,124.6,52224,MZF,5,1,1079
4827,18,2025-09-22 00:25:07.641,2025-09-22,2025-09-22 05:55:07.641,2025-09-22 00:25:00,16.7,640.2,2.0,3327.25,5.98,1.0,0.0,1.0,28.424206,76.99308,216.8,28.97,GGN,180.97,56707,GGN,5,1079,1
4828,18,2025-09-22 05:29:00.942,2025-09-22,2025-09-22 10:59:00.942,2025-09-22 05:29:00,,,,3536.0,,,,0.0,29.54942,77.747444,258.6,0.0,MZF,24.58,65710,GGN,6,1,355
5182,18,2025-09-22 06:05:00.023,2025-09-22,2025-09-22 11:35:00.023,2025-09-22 06:05:00,245.4,634.8,2.0,3536.125,38.37,1.0,0.0,1.0,29.550282,77.74857,257.6,0.0,MZF,128.27,67056,MZF,6,355,1
5183,18,2025-09-22 08:22:01.852,2025-09-22,2025-09-22 13:52:01.852,2025-09-22 08:22:00,74.5,625.4,2.0,3661.25,37.07,1.0,0.0,1.0,30.289215,78.00032,621.4,0.0,DDN,207.19,72558,MZF,7,1,1353
6535,18,2025-09-22 11:25:01.928,2025-09-22,2025-09-22 16:55:01.928,2025-09-22 11:25:00,18.1,639.7,2.0,3662.5,21.44,1.0,0.0,,30.28926,77.99868,607.1,12.16,DDN,174.27,80783,DDN,7,1353,1
6536,18,2025-09-22 14:17:00.922,2025-09-22,2025-09-22 19:47:00.922,2025-09-22 14:17:00,-247.4,640.7,2.0,3787.875,57.27,1.0,0.0,1.0,29.54983,77.74826,254.9,75.38,MZF,71.45,87369,DDN,8,1,1323
7858,18,2025-09-22 15:13:04.163,2025-09-22,2025-09-22 20:43:04.163,2025-09-22 15:13:00,192.3,628.8,2.0,3791.125,75.55,1.0,0.0,1.0,29.549904,77.74838,253.3,0.0,MZF,85.63,90255,MZF,8,1323,1
7859,18,2025-09-22 19:12:01.398,2025-09-22,2025-09-23 00:42:01.398,2025-09-22 19:12:00,-39.2,627.7,2.0,3993.875,18.72,1.0,0.0,1.0,28.424604,76.993576,221.6,21.72,GGN,246.62,97034,MZF,9,1,2866
10724,18,2025-09-23 00:17:05.103,2025-09-23,2025-09-23 05:47:05.103,2025-09-23 00:17:00,9.1,639.4,2.0,3994.375,14.59,1.0,0.0,1.0,28.423483,76.99235,208.8,14.66,GGN,74.5,106309,GGN,9,2866,1
10725,18,2025-09-23 05:21:06.413,2025-09-23,2025-09-23 10:51:06.413,2025-09-23 05:21:00,78.9,630.4,2.0,4197.958927822073,67.58,1.0,0.0,1.0,29.547575,77.74621,257.8,48.83,MZF,249.98,115440,GGN,10,1,1097
11821,18,2025-09-23 06:08:03.693,2025-09-23,2025-09-23 11:38:03.693,2025-09-23 06:08:00,14.7,631.6,2.0,4199.0,0.0,1.0,0.0,1.0,29.5494,77.74776,253.9,0.0,MZF,6.17,117829,MZF,10,1097,1
11822,18,2025-09-23 08:56:01.164,2025-09-23,2025-09-23 14:26:01.164,2025-09-23 08:56:00,36.6,624.4,2.0,4324.0,20.52,1.0,0.0,1.0,30.28921,78.00045,605.1,24.85,DDN,214.46,124499,MZF,11,1,1237
13058,18,2025-09-23 11:19:05.170,2025-09-23,2025-09-23 16:49:05.170,2025-09-23 11:19:00,,,2.0,4325.25,1.04,1.0,0.0,1.0,30.28925,78.000435,581.7,7.31,DDN,217.01,130020,DDN,11,1237,1
13059,18,2025-09-23 14:18:11.292,2025-09-23,2025-09-23 19:48:11.292,2025-09-23 14:18:00,63.4,635.8,2.0,4449.554882334964,76.64,1.0,0.0,,29.549448,77.7479,250.0,72.2,MZF,19.92,136411,DDN,12,1,910
13968,18,2025-09-23 15:02:00.791,2025-09-23,2025-09-23 20:32:00.791,2025-09-23 15:02:00,314.9,630.4,2.0,4452.625,40.3,1.0,0.0,1.0,29.54795,77.74665,257.0,56.75,MZF,191.68,138580,MZF,12,910,1
13969,18,2025-09-23 19:20:41.715,2025-09-23,2025-09-24 00:50:41.715,2025-09-23 19:20:00,8.5,627.8,2.0,4661.5,6.64,1.0,0.0,1.0,28.423027,76.99183,228.7,2.65,GGN,11.79,145198,MZF,13,1,3067
17035,18,2025-09-24 00:39:05.746,2025-09-24,2025-09-24 06:09:05.746,2025-09-24 00:39:00,9.3,639.4,2.0,4662.0,0.0,1.0,0.0,1.0,28.424553,76.993546,212.0,0.0,GGN,240.62,155341,GGN,13,3067,1
17036,18,2025-09-24 05:19:32.538,2025-09-24,2025-09-24 10:49:32.538,2025-09-24 05:19:00,,,,4869.125,,,,0.0,29.549477,77.74755,248.5,1.04,MZF,15.99,162983,GGN,14,1,75
17110,18,2025-09-24 05:59:01.578,2025-09-24,2025-09-24 11:29:01.578,2025-09-24 05:59:00,,,2.0,4869.25,12.83,1.0,0.0,1.0,29.550514,77.74882,251.3,52.57,MZF,163.61,163260,MZF,14,75,1
17111,18,2025-09-24 08:38:01.751,2025-09-24,2025-09-24 14:08:01.751,2025-09-24 08:38:00,30.4,621.3,2.0,4994.310559006211,23.52,1.0,0.0,1.0,30.289215,78.000656,618.7,16.98,DDN,227.96,169507,MZF,15,1,1446
18556,18,2025-09-24 11:02:02.911,2025-09-24,2025-09-24 16:32:02.911,2025-09-24 11:02:00,,,2.0,4995.5,22.01,1.0,0.0,1.0,30.28937,78.00072,602.3,22.75,DDN,244.83,176006,DDN,15,1446,1
18557,18,2025-09-24 14:21:07.920,2025-09-24,2025-09-24 19:51:07.920,2025-09-24 14:21:00,120.5,631.6,2.0,5119.903314917127,77.34,1.0,0.0,1.0,29.549374,77.74778,253.6,74.69,MZF,9.04,184543,DDN,16,1,1041
19597,18,2025-09-24 15:12:00.520,2025-09-24,2025-09-24 20:42:00.520,2025-09-24 15:12:00,89.5,633.2,2.0,5124.4430835734875,78.93,1.0,0.0,1.0,29.549381,77.74781,265.3,76.73,MZF,11.4,187058,MZF,16,1041,1
19598,18,2025-09-24 19:47:01.280,2025-09-24,2025-09-25 01:17:01.280,2025-09-24 19:47:00,-25.5,624.9,2.0,5338.5,25.49,1.0,0.0,1.0,28.424463,76.99338,226.7,24.97,GGN,221.92,194168,MZF,17,1,4042
23639,18,2025-09-25 00:02:20.220,2025-09-25,2025-09-25 05:32:20.220,2025-09-25 00:02:00,8.2,640.5,2.0,5339.0,14.8,1.0,0.0,1.0,28.424465,76.99342,216.9,14.22,GGN,224.93,204081,GGN,17,4042,1
23640,18,2025-09-25 05:00:02.659,2025-09-25,2025-09-25 10:30:02.659,2025-09-25 05:00:00,-46.8,630.7,2.0,5545.8200704225355,73.33,1.0,0.0,1.0,29.547874,77.74645,251.2,70.62,MZF,209.43,211682,GGN,18,1,102
23741,18,2025-09-25 05:38:06.486,2025-09-25,2025-09-25 11:08:06.486,2025-09-25 05:38:00,22.4,630.8,2.0,5546.375,0.0,1.0,0.0,,29.54931,77.7477,253.1,9.69,MZF,11.45,212214,MZF,18,102,1
23742,18,2025-09-25 08:15:00.810,2025-09-25,2025-09-25 13:45:00.810,2025-09-25 08:15:00,-27.8,623.2,2.0,5671.5,28.04,1.0,0.0,1.0,30.2892,77.999916,626.8,4.55,DDN,185.1,218674,MZF,19,1,2758
26499,18,2025-09-25 11:26:04.952,2025-09-25,2025-09-25 16:56:04.952,2025-09-25 11:26:00,19.9,639.9,2.0,5672.875,2.1,1.0,0.0,1.0,30.289423,78.00064,574.2,8.93,DDN,244.34,227049,DDN,19,2758,1
26500,18,2025-09-25 14:04:01.922,2025-09-25,2025-09-25 19:34:01.922,2025-09-25 14:04:00,,,2.0,5796.875,51.52,1.0,0.0,1.0,29.550592,77.74882,261.5,55.19,MZF,170.19,233389,DDN,20,1,912
27411,18,2025-09-25 14:41:04.883,2025-09-25,2025-09-25 20:11:04.883,2025-09-25 14:41:00,,,2.0,5799.5,2.72,1.0,0.0,,29.549412,77.74769,256.8,0.0,MZF,0.78,235337,MZF,20,912,1
27412,18,2025-09-25 19:27:05.950,2025-09-25,2025-09-26 00:57:05.950,2025-09-25 19:27:00,129.0,620.4,2.0,6008.698511166253,37.07,1.0,0.0,1.0,28.423851,76.99269,215.8,17.51,GGN,126.17,242442,MZF,21,1,1618
29029,18,2025-09-26 00:34:13.043,2025-09-26,2025-09-26 06:04:13.043,2025-09-26 00:34:00,8.0,640.9,1.0,6009.25,0.4,1.0,0.0,1.0,28.423048,76.99194,222.8,4.47,GGN,20.77,250582,GGN,21,1618,1
29030,18,2025-09-26 06:00:30.674,2025-09-26,2025-09-26 11:30:30.674,2025-09-26 06:00:00,,,,6217.5,,,,0.0,29.549425,77.74722,244.3,0.0,MZF,46.26,257830,GGN,22,1,90
29119,18,2025-09-26 06:10:01.374,2025-09-26,2025-09-26 11:40:01.374,2025-09-26 06:10:00,23.1,630.4,2.0,6217.5,0.0,1.0,0.0,1.0,29.54969,77.747986,248.1,35.82,MZF,41.53,258274,MZF,22,90,1
29120,18,2025-09-26 08:35:01.014,2025-09-26,2025-09-26 14:05:01.014,2025-09-26 08:35:00,-30.3,621.4,2.0,6342.75,34.09,1.0,0.0,1.0,30.289164,78.00092,600.4,37.46,DDN,242.23,264052,MZF,23,1,1891
31010,18,2025-09-26 11:49:04.431,2025-09-26,2025-09-26 17:19:04.431,2025-09-26 11:49:00,30.5,641.7,2.0,6343.875,16.85,1.0,0.0,1.0,30.2892,78.0001,583.2,21.24,DDN,193.87,272898,DDN,23,1891,1
31011,18,2025-09-26 14:45:06.211,2025-09-26,2025-09-26 20:15:06.211,2025-09-26 14:45:00,109.5,632.5,2.0,6468.46060890558,80.25,1.0,0.0,1.0,29.550673,77.74904,252.8,77.08,MZF,191.0,278140,DDN,24,1,1098
32108,18,2025-09-26 15:37:05.104,2025-09-26,2025-09-26 21:07:05.104,2025-09-26 15:37:00,78.2,637.2,2.0,6470.75,5.09,1.0,0.0,1.0,29.54932,77.74761,246.1,0.0,MZF,13.39,280711,MZF,24,1098,1
32109,18,2025-09-26 19:55:04.444,2025-09-26,2025-09-27 01:25:04.444,2025-09-26 19:55:00,57.1,625.0,2.0,6682.125,38.09,1.0,0.0,,28.424406,76.993355,219.8,25.41,GGN,215.81,285123,MZF,25,1,1915
34023,18,2025-09-27 00:14:12.584,2025-09-27,2025-09-27 05:44:12.584,2025-09-27 00:14:00,,,2.0,6682.875,16.48,1.0,0.0,,28.424135,76.99304,210.4,18.6,GGN,172.74,291213,GGN,25,1915,1
34024,18,2025-09-27 05:01:07.459,2025-09-27,2025-09-27 10:31:07.459,2025-09-27 05:01:00,18.0,630.5,0.0,6890.039628995565,0.0,1.0,0.0,1.0,29.549397,77.74726,247.5,0.25,MZF,42.41,297904,GGN,26,1,130
34153,18,2025-09-27 05:44:02.919,2025-09-27,2025-09-27 11:14:02.919,2025-09-27 05:44:00,19.4,630.8,0.0,6890.25,0.0,1.0,0.0,1.0,29.54929,77.747696,253.9,0.62,MZF,13.68,298592,MZF,26,130,1
34154,18,2025-09-27 08:35:33.441,2025-09-27,2025-09-27 14:05:33.441,2025-09-27 08:35:00,82.7,622.6,2.0,7015.375,5.21,1.0,0.0,1.0,30.289164,78.00023,613.6,4.24,DDN,197.5,305091,MZF,27,1,2287
36440,18,2025-09-27 11:16:00.788,2025-09-27,2025-09-27 16:46:00.788,2025-09-27 11:16:00,21.5,637.7,2.0,7016.5,29.22,1.0,0.0,,30.289265,78.0002,614.0,0.0,DDN,205.13,312410,DDN,27,2287,1
36441,18,2025-09-27 14:18:01.908,2025-09-27,2025-09-27 19:48:01.908,2025-09-27 14:18:00,,,2.0,7141.5,70.99,1.0,0.0,1.0,29.548437,77.74705,248.5,60.93,MZF,125.33,319537,DDN,28,1,1031
37471,18,2025-09-27 15:10:00.168,2025-09-27,2025-09-27 20:40:00.168,2025-09-27 15:10:00,243.7,632.9,2.0,7143.875,46.56,1.0,0.0,1.0,29.548424,77.747116,249.3,38.08,MZF,123.54,322137,MZF,28,1031,1
37472,18,2025-09-27 19:43:02.849,2025-09-27,2025-09-28 01:13:02.849,2025-09-27 19:43:00,-40.4,627.2,2.0,7344.39236489555,31.95,1.0,0.0,1.0,28.423306,76.992165,221.0,29.69,GGN,48.6,328684,MZF,29,1,1414
38885,18,2025-09-28 00:15:00.109,2025-09-28,2025-09-28 05:45:00.109,2025-09-28 00:15:00,9.5,641.0,2.0,7345.0,23.43,1.0,0.0,1.0,28.424522,76.993484,217.8,0.0,GGN,233.83,335208,GGN,29,1414,1
38886,18,2025-09-28 05:29:56.980,2025-09-28,2025-09-28 10:59:56.980,2025-09-28 05:29:00,0.0,0.0,0.0,7552.5,0.0,0.0,0.0,1.0,29.549389,77.747246,249.7,0.0,MZF,43.8,342653,GGN,30,1,13
38898,18,2025-09-28 05:32:04.781,2025-09-28,2025-09-28 11:02:04.781,2025-09-28 05:32:00,46.2,630.8,2.0,7552.5,6.45,1.0,0.0,1.0,29.550982,77.74916,250.9,0.0,MZF,224.58,342719,MZF,30,13,1
38899,18,2025-09-28 08:04:01.000,2025-09-28,2025-09-28 13:34:01.000,2025-09-28 08:04:00,12.6,621.7,0.0,7677.75,0.0,1.0,0.0,1.0,30.289118,78.00096,606.8,0.0,DDN,241.81,348785,MZF,31,1,2319
41217,18,2025-09-28 11:09:03.946,2025-09-28,2025-09-28 16:39:03.946,2025-09-28 11:09:00,16.2,638.4,2.0,7678.795405209841,17.23,1.0,0.0,1.0,30.289364,77.99956,614.6,0.0,DDN,189.57,357600,DDN,31,2319,1
41218,18,2025-09-28 14:19:00.427,2025-09-28,2025-09-28 19:49:00.427,2025-09-28 14:19:00,163.3,637.9,2.0,7803.75,35.44,1.0,0.0,1.0,29.550701,77.74899,252.7,30.98,MZF,190.08,364905,DDN,32,1,956
42173,18,2025-09-28 15:03:07.234,2025-09-28,2025-09-28 20:33:07.234,2025-09-28 15:03:00,24.3,637.4,0.0,7805.5,0.0,1.0,0.0,1.0,29.551052,77.74919,247.0,49.23,MZF,232.47,367106,MZF,32,956,1
42174,18,2025-09-28 19:19:04.141,2025-09-28,2025-09-29 00:49:04.141,2025-09-28 19:19:00,89.2,620.5,2.0,8016.5,40.03,1.0,0.0,1.0,28.424202,76.993065,229.2,27.85,GGN,179.6,372833,MZF,33,1,4217
46390,18,2025-09-29 00:10:01.250,2025-09-29,2025-09-29 05:40:01.250,2025-09-29 00:10:00,9.4,639.0,2.0,8017.25,15.7,1.0,0.0,1.0,28.424139,76.99305,221.9,0.0,GGN,173.76,382572,GGN,33,4217,1
46391,18,2025-09-29 05:03:00.834,2025-09-29,2025-09-29 10:33:00.834,2025-09-29 05:03:00,,,2.0,8224.194895509743,80.68,1.0,0.0,,29.54869,77.74721,256.5,64.94,MZF,93.23,390143,GGN,34,1,97
46487,18,2025-09-29 05:43:00.096,2025-09-29,2025-09-29 11:13:00.096,2025-09-29 05:43:00,,,2.0,8224.75,20.83,1.0,0.0,1.0,29.550516,77.748795,251.3,23.48,MZF,162.18,390752,MZF,34,97,1
46488,18,2025-09-29 08:22:00.706,2025-09-29,2025-09-29 13:52:00.706,2025-09-29 08:22:00,-33.9,621.8,2.0,8350.0,27.29,1.0,0.0,1.0,30.28921,78.00049,602.8,26.39,DDN,216.92,396937,MZF,35,1,992
47479,18,2025-09-29 11:18:10.113,2025-09-29,2025-09-29 16:48:10.113,2025-09-29 11:18:00,13.2,640.0,2.0,8351.125,1.11,1.0,0.0,1.0,30.289307,78.000496,599.7,9.99,DDN,225.62,404565,DDN,35,992,1
47480,18,2025-09-29 14:19:00.145,2025-09-29,2025-09-29 19:49:00.145,2025-09-29 14:19:00,80.5,633.1,2.0,8475.875,81.09,1.0,0.0,,29.551094,77.749374,251.9,76.38,MZF,247.43,409644,DDN,36,1,815
48294,18,2025-09-29 15:01:01.865,2025-09-29,2025-09-29 20:31:01.865,2025-09-29 15:01:00,-131.5,638.4,2.0,8478.0,29.19,1.0,0.0,1.0,29.549755,77.74822,254.2,4.1,MZF,63.21,411746,MZF,36,815,1
48295,18,2025-09-29 19:00:04.377,2025-09-29,2025-09-30 00:30:04.377,2025-09-29 19:00:00,92.1,624.6,2.0,8679.5,19.38,1.0,0.0,1.0,28.424534,76.99339,217.8,32.63,GGN,228.12,417859,MZF,37,1,1897
50191,18,2025-09-30 00:20:05.583,2025-09-30,2025-09-30 05:50:05.583,2025-09-30 00:20:00,,,2.0,8679.875,6.64,1.0,0.0,1.0,28.42374,76.99264,226.3,21.44,GGN,114.42,426167,GGN,37,1897,1
50192,18,2025-09-30 05:21:00.244,2025-09-30,2025-09-30 10:51:00.244,2025-09-30 05:21:00,18.8,629.9,2.0,8887.625,0.5,1.0,0.0,1.0,29.549341,77.747345,262.2,0.0,MZF,35.07,434282,GGN,38,1,71
50262,18,2025-09-30 05:59:10.004,2025-09-30,2025-09-30 11:29:10.004,2025-09-30 05:59:00,19.4,630.8,0.0,8887.75,0.0,1.0,0.0,1.0,29.549326,77.74754,260.4,0.0,MZF,18.09,434513,MZF,38,71,1
50263,18,2025-09-30 08:31:03.523,2025-09-30,2025-09-30 14:01:03.523,2025-09-30 08:31:00,-120.3,626.1,2.0,9012.914201183432,28.8,1.0,0.0,1.0,30.289143,78.00097,611.2,2.3899999,DDN,244.33,440390,MZF,39,1,2147
52409,18,2025-09-30 12:14:05.515,2025-09-30,2025-09-30 17:44:05.515,2025-09-30 12:14:00,123.3,634.5,2.0,9027.902659574467,80.07,1.0,0.0,1.0,30.287678,77.999,599.9,0.3,DDN,5.63,449854,DDN,39,2147,1
52410,18,2025-09-30 14:15:04.880,2025-09-30,2025-09-30 19:45:04.880,2025-09-30 14:15:00,-49.3,636.4,2.0,9138.36962430056,64.8,1.0,0.0,,29.550165,77.74856,258.9,58.99,MZF,118.09,454819,DDN,40,1,1198
53607,18,2025-09-30 15:07:01.330,2025-09-30,2025-09-30 20:37:01.330,2025-09-30 15:07:00,79.1,633.1,2.0,9143.419670846395,81.0,1.0,0.0,1.0,29.547737,77.746414,244.2,77.41,MZF,223.96,457435,MZF,40,1198,1
53608,18,2025-09-30 19:42:08.582,2025-09-30,2025-10-01 01:12:08.582,2025-09-30 19:42:00,58.8,626.8,2.0,9344.25,30.91,1.0,0.0,1.0,28.424553,76.99347,226.6,22.88,GGN,235.2,465512,MZF,41,1,4896
58503,18,2025-10-01 00:34:16.888,2025-10-01,2025-10-01 06:04:16.888,2025-10-01 00:34:00,35.1,641.9,2.0,9344.75,8.82,1.0,0.0,1.0,28.423977,76.9929,219.6,24.69,GGN,150.84,480571,GGN,41,4896,1
58504,18,2025-10-01 05:19:08.743,2025-10-01,2025-10-01 10:49:08.743,2025-10-01 05:19:00,301.6,625.1,2.0,9551.5625,72.95,1.0,0.0,1.0,29.547632,77.7462,260.6,61.48,MZF,245.39,493027,GGN,42,1,265
58768,18,2025-10-01 06:02:03.504,2025-10-01,2025-10-01 11:32:03.504,2025-10-01 06:02:00,279.2,623.0,2.0,9552.5,56.47,1.0,0.0,1.0,29.550972,77.74912,253.4,55.83,MZF,221.3,493814,MZF,42,265,1
58769,18,2025-10-01 08:29:10.795,2025-10-01,2025-10-01 13:59:10.795,2025-10-01 08:29:00,-127.4,626.0,2.0,9677.5,25.32,1.0,0.0,1.0,30.28912,78.00102,620.4,6.83,DDN,246.39,500833,MZF,43,1,3271
62039,18,2025-10-01 11:18:05.156,2025-10-01,2025-10-01 16:48:05.156,2025-10-01 11:18:00,78.4,639.5,2.0,9678.75,21.44,1.0,0.0,1.0,30.289194,78.000755,585.4,24.31,DDN,232.93,509264,DDN,43,3271,1
62040,18,2025-10-01 14:38:13.199,2025-10-01,2025-10-01 20:08:13.199,2025-10-01 14:38:00,100.3,632.4,2.0,9802.53737447913,80.83,1.0,0.0,1.0,29.550875,77.749176,262.4,73.27,MZF,216.49,519037,DDN,44,1,388
62427,18,2025-10-01 15:10:07.087,2025-10-01,2025-10-01 20:40:07.087,2025-10-01 15:10:00,292.6,628.0,2.0,9805.875,69.46,1.0,0.0,1.0,29.547604,77.74628,250.9,71.68,MZF,243.47,520330,MZF,44,388,1
62428,18,2025-10-01 19:25:19.327,2025-10-01,2025-10-02 00:55:19.327,2025-10-01 19:25:00,8.6,628.6,2.0,10006.375,10.0,1.0,0.0,1.0,28.424515,76.99343,215.3,26.49,GGN,229.45,531121,MZF,45,1,6593
69020,18,2025-10-02 00:28:00.452,2025-10-02,2025-10-02 05:58:00.452,2025-10-02 00:28:00,107.7,632.3,2.0,10007.125,32.57,1.0,0.0,1.0,28.424522,76.993515,224.4,19.0,GGN,236.06,547108,GGN,45,6593,1
69021,18,2025-10-02 05:17:00.725,2025-10-02,2025-10-02 10:47:00.725,2025-10-02 05:17:00,-46.1,626.1,2.0,10214.5,78.15,1.0,0.0,1.0,29.547632,77.746216,261.6,78.25,MZF,244.48,559645,GGN,46,1,1396
70416,18,2025-10-02 06:10:08.945,2025-10-02,2025-10-02 11:40:08.945,2025-10-02 06:10:00,23.8,630.3,2.0,10214.625,0.0,1.0,0.0,1.0,29.549711,77.74803,257.7,36.38,MZF,46.15,562497,MZF,46,1396,1
70417,18,2025-10-02 08:42:12.197,2025-10-02,2025-10-02 14:12:12.197,2025-10-02 08:42:00,100.1,620.6,2.0,10339.75,10.15,1.0,0.0,1.0,30.28913,78.00102,610.1,12.14,DDN,247.1,569220,MZF,47,1,2874
73290,18,2025-10-02 11:13:17.047,2025-10-02,2025-10-02 16:43:17.047,2025-10-02 11:13:00,22.3,638.8,2.0,10340.625,13.95,1.0,0.0,1.0,30.288847,77.99706,590.7,1.56,DDN,226.7,576994,DDN,47,2874,1
73291,18,2025-10-02 14:22:07.582,2025-10-02,2025-10-02 19:52:07.582,2025-10-02 14:22:00,76.7,633.3,2.0,10466.0,81.19,1.0,0.0,1.0,29.550962,77.749275,245.9,76.85,MZF,230.08,584562,DDN,48,1,1058
74348,18,2025-10-02 15:14:07.350,2025-10-02,2025-10-02 20:44:07.350,2025-10-02 15:14:00,182.5,629.6,2.0,10469.5,77.3,1.0,0.0,1.0,29.551073,77.74939,250.0,76.46,MZF,246.7,587002,MZF,48,1058,1
74349,18,2025-10-02 19:07:03.742,2025-10-02,2025-10-03 00:37:03.742,2025-10-02 19:07:00,9.9,629.2,2.0,10672.5,4.55,1.0,0.0,1.0,28.424364,76.993286,219.7,29.84,GGN,207.68,592693,MZF,49,1,3080
77428,18,2025-10-03 00:16:02.036,2025-10-03,2025-10-03 05:46:02.036,2025-10-03 00:16:00,54.4,638.8,2.0,10673.375,16.07,1.0,0.0,1.0,28.424026,76.99296,218.1,10.37,GGN,158.84,602321,GGN,49,3080,1
77429,18,2025-10-03 05:08:03.002,2025-10-03,2025-10-03 10:38:03.002,2025-10-03 05:08:00,,,2.0,10880.40006270903,79.04,1.0,0.0,,29.548008,77.746574,257.2,74.43,MZF,190.34,609411,GGN,50,1,143
77571,18,2025-10-03 05:47:07.482,2025-10-03,2025-10-03 11:17:07.482,2025-10-03 05:47:00,16.6,630.7,2.0,10880.875,2.41,1.0,0.0,1.0,29.550344,77.74859,252.9,34.84,MZF,134.77,610173,MZF,50,143,1
77572,18,2025-10-03 08:58:33.011,2025-10-03,2025-10-03 14:28:33.011,2025-10-03 08:58:00,9.5,622.6,0.0,11005.875,0.0,1.0,0.0,1.0,30.28906,78.00109,608.7,0.25,DDN,247.58,617843,MZF,51,1,1216
78787,18,2025-10-03 11:26:02.520,2025-10-03,2025-10-03 16:56:02.520,2025-10-03 11:26:00,246.0,637.8,2.0,11007.0,29.34,1.0,0.0,,30.289148,78.00006,576.4,6.8,DDN,186.93,624111,DDN,51,1216,1
78788,18,2025-10-03 14:38:13.572,2025-10-03,2025-10-03 20:08:13.572,2025-10-03 14:38:00,,,2.0,11133.281538461539,73.48,1.0,0.0,1.0,29.547684,77.746254,245.9,72.3,MZF,237.64,631233,DDN,52,1,1015
79802,18,2025-10-03 15:24:15.413,2025-10-03,2025-10-03 20:54:15.413,2025-10-03 15:24:00,303.0,627.7,2.0,11134.405952970297,71.85,1.0,0.0,1.0,29.54893,77.74752,251.6,63.86,MZF,56.4,633538,MZF,52,1015,1
79803,18,2025-10-03 19:16:01.488,2025-10-03,2025-10-04 00:46:01.488,2025-10-03 19:16:00,65.9,624.5,2.0,11335.29828187251,26.57,1.0,0.0,1.0,28.4245,76.99343,212.3,21.19,GGN,228.3,640451,MZF,53,1,5432
85234,18,2025-10-04 00:24:13.559,2025-10-04,2025-10-04 05:54:13.559,2025-10-04 00:24:00,71.8,638.4,2.0,11335.625,12.41,1.0,0.0,1.0,28.4243,76.99318,216.9,11.0,GGN,195.26,654116,GGN,53,5432,1
85235,18,2025-10-04 05:23:00.541,2025-10-04,2025-10-04 10:53:00.541,2025-10-04 05:23:00,,,2.0,11542.771224056014,67.99,1.0,0.0,1.0,29.549492,77.74738,248.5,75.63,MZF,31.99,663072,GGN,54,1,1035
